person_id,household_id,bike_days_per_month,no_disability,gave_up_driving,is_worker,work_location,work_commute_usual_mode,is_driver,drives_for_work,work_vehicle_type,education_level,employer_transit_pass,work_distance_mi,age,hispanic,race,sex,enrolled_in_school
1,9000013598,,,,Not worker,,,Yes,,,"High school graduate, have diploma/GED",,,67,Not Hispanic,White,Female,No
2,9000013598,,Not Selected,Not Selected,Not worker,,,Yes,,,"High school graduate, have diploma/GED",,,83,Not Hispanic,White,Male,No
1,9000013761,,Selected,Not Selected,Not worker,,,Yes,,,Bachelor's degree,,,81,Not Hispanic,White,Male,No
1,9000013970,,,,Worker,Only one work location outside of home,Car,Yes,No,,Associates degree (2-year)/ trade school certificate,,3.40905090936106,58,Not Hispanic,White,Female,No
1,9000013987,,,,Not worker,,,Yes,,,Bachelor's degree,,,70,Not Hispanic,White,Male,No
2,9000013987,,,,Not worker,,,Yes,,,"Some college, no degree/ some trade school",,,70,Not Hispanic,White,Female,No
1,9000014608,1,,,Worker,Work location regularly varies (different offices/job sites),Car,Yes,Yes,"Yes, use a household vehicle",Associates degree (2-year)/ trade school certificate,,8.21779485952098,48,Not Hispanic,White,Female,No
2,9000014608,,,,Worker,Only one work location outside of home,Van,Yes,No,,Associates degree (2-year)/ trade school certificate,,9.8652123998883,47,Not Hispanic,White,Male,No
3,9000014608,,,,Not worker,,,Yes,,,"Some high school, no diploma/GED",,,16,Not Hispanic,White,Female,Yes
1,9000015362,,,,Not worker,,,Yes,,,Bachelor's degree,,,67,Not Hispanic,American Indian/Alaska Native,Male,No
2,9000015362,,,,Worker,"Only work at home (telework, self-employed)",,Yes,No,,"Some college, no degree/ some trade school",,,61,Not Hispanic,White,Female,No
1,9000015657,,,,Worker,"Only work at home (telework, self-employed)",,Yes,No,,Master's degree,,,26,Not Hispanic,White,Female,No
2,9000015657,,,,Worker,"Only work at home (telework, self-employed)",,Yes,No,,Bachelor's degree,,,27,Not Hispanic,Asian,Male,No
1,9000015676,7,,,Not worker,,,Yes,,,Bachelor's degree,,,56,Not Hispanic,White,Male,No
2,9000015676,7,,,Not worker,,,Yes,,,Bachelor's degree,,,52,Not Hispanic,White,Female,No
1,9000015987,,Selected,Not Selected,Not worker,,,Yes,,,Bachelor's degree,,,84,Not Hispanic,White,Male,No
2,9000015987,,Selected,Not Selected,Not worker,,,Yes,,,"Some college, no degree/ some trade school",,,84,Not Hispanic,White,Female,No
1,9000017013,,,,Worker,Only one work location outside of home,Car,Yes,No,,Associates degree (2-year)/ trade school certificate,,3.37022949488487,31,Not Hispanic,White,Female,Yes
2,9000017013,,Not Selected,Not Selected,Worker,Only one work location outside of home,Car,Yes,No,,"Some college, no degree/ some trade school",,3.49828563415721,77,Not Hispanic,White,Female,No
1,9000017491,,,,Not worker,,,Yes,,,"High school graduate, have diploma/GED",,,57,Hispanic,White,Male,No
1,9000017779,,,,Not worker,,,Yes,,,"High school graduate, have diploma/GED",,,76,Not Hispanic,White,Female,No
1,9000017855,,,,Worker,"Only work at home (telework, self-employed)",,Yes,No,,Master's degree,,,34,Not Hispanic,White,Female,No
2,9000017855,,,,Worker,"Only work at home (telework, self-employed)",,Yes,No,,Bachelor's degree,,,36,Not Hispanic,White,Male,No
3,9000017855,,,,,,,No,,,Less than high school,,,15,Not Hispanic,White,Female,Yes
4,9000017855,,,,,,,,,,,,,13,Not Hispanic,White,Male,Yes
1,9000018292,,,,Not worker,,,Yes,,,"High school graduate, have diploma/GED",,,64,Not Hispanic,White,Male,No
1,9000018932,,,,Not worker,,,Yes,,,"High school graduate, have diploma/GED",,,18,Not Hispanic,Native Hawaiian/Pacific Islander,Female,No
2,9000018932,,,,Not worker,,,Yes,,,"High school graduate, have diploma/GED",,,34,Not Hispanic,Black or African American,Male,No
3,9000018932,,,,Not worker,,,Yes,,,"High school graduate, have diploma/GED",,,46,Not Hispanic,Native Hawaiian/Pacific Islander,Female,No
4,9000018932,,,,,,,,,,,,,12,Not Hispanic,Black or African American,Female,Yes
5,9000018932,,,,,,,,,,,,,9,Not Hispanic,Black or African American,Female,Yes
1,9000019163,,Not Selected,Not Selected,Not worker,,,Yes,,,Master's degree,,,81,Not Hispanic,White,Male,No
2,9000019163,,,,Not worker,,,Yes,,,Bachelor's degree,,,79,Not Hispanic,White,Female,No
1,9000045802,10,,,Worker,"Only work at home (telework, self-employed)",,Yes,No,,Bachelor's degree,,,26,Not Hispanic,White,Male,No
2,9000045802,8,,,Worker,Only one work location outside of home,Public or commuter bus,Yes,No,,Master's degree,,1.21903253163611,25,Not Hispanic,White,Female,Yes
