trip_id,seq_trip_id,household_id,person_id,vehicle_id,vehicle_case_id,is_driver,dwell_time_min,num_passengers,origin_density,dest_density,travel_time_min,trip_distance_mi,start_time,trip_mode,trip_purpose
1,1,9000013761,1,1,900001376101,Driver on trip,55,1,"2,000-3,999",500-999,20,6.08017402113114,900,Privately Owned Vehicle-Driver,Medical/Dental services
2,2,9000013761,1,1,900001376101,Driver on trip,,1,"1,000-1,999","2,000-3,999",25,6.11124922311995,1015,Privately Owned Vehicle-Driver,Home
1,1,9000013987,1,1,900001398701,Driver on trip,1,1,0-99,0-99,20,6.64947172156619,1830,Privately Owned Vehicle-Driver,Shopping/Errands
2,2,9000013987,1,1,900001398701,Driver on trip,,1,0-99,0-99,20,6.64947172156619,1851,Privately Owned Vehicle-Driver,Home
1,1,9000014608,1,1,900001460801,Driver on trip,120,1,"4,000-9,999",500-999,30,15.733374766936,930,Privately Owned Vehicle-Driver,Work
2,2,9000014608,1,1,900001460801,Driver on trip,,1,0-99,"2,000-3,999",30,15.7874456183965,1200,Privately Owned Vehicle-Driver,Home
1,1,9000014608,2,3,900001460803,Driver on trip,700,1,"4,000-9,999",100-499,20,13.4282162834058,800,Privately Owned Vehicle-Driver,Work
2,2,9000014608,2,3,900001460803,Driver on trip,,1,100-499,"2,000-3,999",20,12.7576134244873,2000,Privately Owned Vehicle-Driver,Home
1,1,9000014608,3,,,,430,1,"4,000-9,999","1,000-1,999",15,0.979490366687383,745,Walk,School/Daycare/Religious
2,2,9000014608,3,,,,,1,"1,000-1,999","2,000-3,999",20,0.801118707271597,1510,Walk,Home
1,1,9000015362,1,2,900001536202,Not driver on trip,105,2,"4,000-9,999",,30,16.5463020509633,845,Privately Owned Vehicle-Passenger,Transport someone
2,2,9000015362,1,,,,20,2,,0-99,220,1258.27881788375,1100,Other,Social/Recreational
3,3,9000015362,1,1,900001536201,Not driver on trip,,2,0-99,100-499,75,64.1261653200746,1500,Privately Owned Vehicle-Passenger,Home
1,1,9000015362,2,2,900001536202,Not driver on trip,105,2,"4,000-9,999",,30,16.5463020509633,845,Privately Owned Vehicle-Passenger,Transport someone
2,2,9000015362,2,,,,20,2,,0-99,220,1258.27881788375,1100,Other,Social/Recreational
3,3,9000015362,2,1,900001536201,Driver on trip,,2,0-99,100-499,75,64.1261653200746,1500,Privately Owned Vehicle-Driver,Home
1,1,9000015676,1,,,,,2,100-499,100-499,60,4.0,1030,Walk,Social/Recreational
1,1,9000015676,2,,,,,2,100-499,100-499,60,4.0,1030,Walk,Social/Recreational
1,1,9000017013,1,2,900001701302,Driver on trip,550,1,100-499,100-499,10,6.1255438160348,740,Privately Owned Vehicle-Driver,Work
2,2,9000017013,1,2,900001701302,Driver on trip,215,1,0-99,0-99,25,14.8004972032318,1700,Privately Owned Vehicle-Driver,Home
3,3,9000017013,1,2,900001701302,Driver on trip,,1,0-99,100-499,25,9.33623368551896,2100,Privately Owned Vehicle-Driver,Home
1,1,9000017491,1,1,900001749101,Driver on trip,265,1,100-499,"2,000-3,999",20,9.71037911746426,1245,Privately Owned Vehicle-Driver,Social/Recreational
2,2,9000017491,1,1,900001749101,Driver on trip,2,1,"2,000-3,999","1,000-1,999",25,8.21379738968303,1730,Privately Owned Vehicle-Driver,Shopping/Errands
3,3,9000017491,1,1,900001749101,Driver on trip,14,1,"2,000-3,999","1,000-1,999",4,0.146053449347421,1757,Privately Owned Vehicle-Driver,Shopping/Errands
4,4,9000017491,1,1,900001749101,Driver on trip,12,1,"4,000-9,999","1,000-1,999",3,0.102548166563083,1815,Privately Owned Vehicle-Driver,Meals
5,5,9000017491,1,1,900001749101,Driver on trip,,1,"4,000-9,999","1,000-1,999",12,1.06401491609695,1830,Privately Owned Vehicle-Driver,Home
1,1,9000017779,1,1,900001777901,Driver on trip,110,1,500-999,100-499,85,85.5755127408328,915,Privately Owned Vehicle-Driver,School/Daycare/Religious
2,2,9000017779,1,1,900001777901,Driver on trip,,1,100-499,0-99,120,85.5730267246737,1230,Privately Owned Vehicle-Driver,Home
1,1,9000017855,1,1,900001785501,Driver on trip,70,1,100-499,"2,000-3,999",20,8.01243008079553,1600,Privately Owned Vehicle-Driver,Shopping/Errands
2,2,9000017855,1,1,900001785501,Driver on trip,,1,"2,000-3,999",100-499,30,7.89496581727781,1730,Privately Owned Vehicle-Driver,Home
1,1,9000018932,2,2,900001893202,Driver on trip,150,1,"1,000-1,999",500-999,90,52.7395898073338,800,Privately Owned Vehicle-Driver,Something else
2,2,9000018932,2,2,900001893202,Driver on trip,,1,100-499,"2,000-3,999",90,52.9024238657551,1200,Privately Owned Vehicle-Driver,Transport someone
1,1,9000019163,1,2,900001916302,Driver on trip,120,1,"1,000-1,999",500-999,15,3.40957116221255,845,Privately Owned Vehicle-Driver,School/Daycare/Religious
2,2,9000019163,1,2,900001916302,Driver on trip,,1,"1,000-1,999","1,000-1,999",15,3.28837787445618,1100,Privately Owned Vehicle-Driver,Home
1,1,9000045802,1,,,,195,1,"4,000-9,999","10,000-24,999",35,5.51522684897452,1945,Bike,Social/Recreational
2,2,9000045802,1,,,,,1,"10,000-24,999","4,000-9,999",85,6.05655686761964,2335,Bike,Home
1,1,9000045802,2,,,,230,2,"4,000-9,999","4,000-9,999",10,0.205717837165941,1000,Walk,Work
